# Finite Temperature QED corrections for d2P_int/dT2. [d2P_int/dT2] = MeV^2
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           dP2_int/dT2 (e^2)    dP2_int/dT2 (e^3)    dP2_int/dT2 (e^4)    dP2_int/dT2 (e^5)    
3.209477E+01        -1.967694E+01        1.752247E+00        -1.802652E-01        1.441204E-02        
3.206594E+01        -1.964160E+01        1.749101E+00        -1.799141E-01        1.438251E-02        
3.203713E+01        -1.960633E+01        1.745960E+00        -1.795637E-01        1.435303E-02        
3.200836E+01        -1.957111E+01        1.742824E+00        -1.792140E-01        1.432362E-02        
3.197960E+01        -1.953596E+01        1.739694E+00        -1.788649E-01        1.429426E-02        
3.195087E+01        -1.950088E+01        1.736570E+00        -1.785165E-01        1.426497E-02        
3.192217E+01        -1.946585E+01        1.733451E+00        -1.781688E-01        1.423573E-02        
3.189350E+01        -1.943089E+01        1.730338E+00        -1.778218E-01        1.420655E-02        
3.186485E+01        -1.939600E+01        1.727231E+00        -1.774755E-01        1.417744E-02        
3.183622E+01        -1.936116E+01        1.724129E+00        -1.771298E-01        1.414838E-02        
3.180762E+01        -1.932639E+01        1.721033E+00        -1.767847E-01        1.411938E-02        
3.177905E+01        -1.929168E+01        1.717942E+00        -1.764404E-01        1.409043E-02        
3.175050E+01        -1.925703E+01        1.714857E+00        -1.760967E-01        1.406155E-02        
3.172198E+01        -1.922244E+01        1.711777E+00        -1.757537E-01        1.403272E-02        
3.169348E+01        -1.918792E+01        1.708703E+00        -1.754113E-01        1.400395E-02        
3.166501E+01        -1.915346E+01        1.705635E+00        -1.750696E-01        1.397525E-02        
3.163657E+01        -1.911906E+01        1.702572E+00        -1.747286E-01        1.394659E-02        
3.160815E+01        -1.908472E+01        1.699514E+00        -1.743882E-01        1.391800E-02        
3.157975E+01        -1.905045E+01        1.696462E+00        -1.740485E-01        1.388946E-02        
3.155138E+01        -1.901623E+01        1.693416E+00        -1.737095E-01        1.386098E-02        
3.152304E+01        -1.898208E+01        1.690374E+00        -1.733711E-01        1.383256E-02        
3.149472E+01        -1.894799E+01        1.687339E+00        -1.730333E-01        1.380420E-02        
3.146643E+01        -1.891396E+01        1.684309E+00        -1.726962E-01        1.377589E-02        
3.143816E+01        -1.887999E+01        1.681284E+00        -1.723598E-01        1.374764E-02        
3.140992E+01        -1.884608E+01        1.678265E+00        -1.720240E-01        1.371945E-02        
3.138171E+01        -1.881223E+01        1.675251E+00        -1.716889E-01        1.369132E-02        
3.135352E+01        -1.877844E+01        1.672242E+00        -1.713544E-01        1.366324E-02        
3.132535E+01        -1.874472E+01        1.669239E+00        -1.710206E-01        1.363522E-02        
3.129721E+01        -1.871105E+01        1.666241E+00        -1.706874E-01        1.360725E-02        
3.126910E+01        -1.867745E+01        1.663249E+00        -1.703548E-01        1.357934E-02        
3.124101E+01        -1.864390E+01        1.660262E+00        -1.700229E-01        1.355149E-02        
3.121294E+01        -1.861042E+01        1.657281E+00        -1.696917E-01        1.352369E-02        
3.118490E+01        -1.857699E+01        1.654304E+00        -1.693610E-01        1.349595E-02        
3.115689E+01        -1.854363E+01        1.651333E+00        -1.690311E-01        1.346827E-02        
3.112890E+01        -1.851032E+01        1.648368E+00        -1.687017E-01        1.344064E-02        
3.110094E+01        -1.847708E+01        1.645408E+00        -1.683730E-01        1.341307E-02        
3.107300E+01        -1.844389E+01        1.642453E+00        -1.680450E-01        1.338555E-02        
3.104509E+01        -1.841077E+01        1.639503E+00        -1.677175E-01        1.335809E-02        
3.101720E+01        -1.837770E+01        1.636559E+00        -1.673907E-01        1.333069E-02        
3.098933E+01        -1.834470E+01        1.633620E+00        -1.670646E-01        1.330334E-02        
3.096150E+01        -1.831175E+01        1.630686E+00        -1.667390E-01        1.327604E-02        
3.093368E+01        -1.827886E+01        1.627758E+00        -1.664141E-01        1.324880E-02        
3.090589E+01        -1.824603E+01        1.624835E+00        -1.660899E-01        1.322162E-02        
3.087813E+01        -1.821326E+01        1.621917E+00        -1.657662E-01        1.319449E-02        
3.085039E+01        -1.818055E+01        1.619004E+00        -1.654432E-01        1.316741E-02        
3.082268E+01        -1.814790E+01        1.616096E+00        -1.651208E-01        1.314039E-02        
