# Finite Temperature QED corrections for dP_int/dT. [dP_int/dT] = MeV^3
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      dP_int/dT (e^4)      dP_int/dT (e^5)      
3.436353E+01        -2.583478E+02        2.300870E+01        -2.260830E+00        1.750786E-01        
3.433266E+01        -2.576521E+02        2.294675E+01        -2.254384E+00        1.745593E-01        
3.430182E+01        -2.569583E+02        2.288496E+01        -2.247955E+00        1.740415E-01        
3.427101E+01        -2.562663E+02        2.282335E+01        -2.241545E+00        1.735252E-01        
3.424022E+01        -2.555762E+02        2.276189E+01        -2.235154E+00        1.730105E-01        
3.420946E+01        -2.548880E+02        2.270060E+01        -2.228780E+00        1.724972E-01        
3.417873E+01        -2.542016E+02        2.263948E+01        -2.222424E+00        1.719855E-01        
3.414803E+01        -2.535171E+02        2.257852E+01        -2.216087E+00        1.714753E-01        
3.411735E+01        -2.528344E+02        2.251773E+01        -2.209767E+00        1.709666E-01        
3.408670E+01        -2.521535E+02        2.245710E+01        -2.203466E+00        1.704593E-01        
3.405608E+01        -2.514745E+02        2.239663E+01        -2.197182E+00        1.699536E-01        
3.402549E+01        -2.507973E+02        2.233633E+01        -2.190917E+00        1.694494E-01        
3.399492E+01        -2.501219E+02        2.227618E+01        -2.184669E+00        1.689466E-01        
3.396438E+01        -2.494483E+02        2.221620E+01        -2.178439E+00        1.684453E-01        
3.393387E+01        -2.487766E+02        2.215638E+01        -2.172226E+00        1.679455E-01        
3.390339E+01        -2.481067E+02        2.209673E+01        -2.166031E+00        1.674472E-01        
3.387293E+01        -2.474385E+02        2.203723E+01        -2.159854E+00        1.669503E-01        
3.384251E+01        -2.467722E+02        2.197789E+01        -2.153695E+00        1.664549E-01        
3.381210E+01        -2.461077E+02        2.191872E+01        -2.147553E+00        1.659609E-01        
3.378173E+01        -2.454449E+02        2.185970E+01        -2.141428E+00        1.654684E-01        
3.375138E+01        -2.447839E+02        2.180084E+01        -2.135321E+00        1.649774E-01        
3.372106E+01        -2.441248E+02        2.174214E+01        -2.129231E+00        1.644878E-01        
3.369077E+01        -2.434673E+02        2.168360E+01        -2.123158E+00        1.639996E-01        
3.366051E+01        -2.428117E+02        2.162521E+01        -2.117103E+00        1.635129E-01        
3.363027E+01        -2.421578E+02        2.156698E+01        -2.111065E+00        1.630276E-01        
3.360006E+01        -2.415057E+02        2.150891E+01        -2.105044E+00        1.625437E-01        
3.356988E+01        -2.408554E+02        2.145100E+01        -2.099040E+00        1.620613E-01        
3.353972E+01        -2.402068E+02        2.139324E+01        -2.093054E+00        1.615803E-01        
3.350959E+01        -2.395599E+02        2.133564E+01        -2.087084E+00        1.611007E-01        
3.347949E+01        -2.389148E+02        2.127819E+01        -2.081131E+00        1.606225E-01        
3.344941E+01        -2.382714E+02        2.122090E+01        -2.075195E+00        1.601457E-01        
3.341936E+01        -2.376298E+02        2.116376E+01        -2.069276E+00        1.596703E-01        
3.338934E+01        -2.369898E+02        2.110677E+01        -2.063374E+00        1.591963E-01        
3.335935E+01        -2.363516E+02        2.104994E+01        -2.057489E+00        1.587237E-01        
3.332938E+01        -2.357152E+02        2.099326E+01        -2.051620E+00        1.582525E-01        
3.329944E+01        -2.350804E+02        2.093674E+01        -2.045769E+00        1.577827E-01        
3.326953E+01        -2.344473E+02        2.088036E+01        -2.039933E+00        1.573142E-01        
3.323964E+01        -2.338160E+02        2.082414E+01        -2.034115E+00        1.568472E-01        
3.320978E+01        -2.331863E+02        2.076807E+01        -2.028313E+00        1.563815E-01        
3.317995E+01        -2.325584E+02        2.071215E+01        -2.022527E+00        1.559172E-01        
3.315014E+01        -2.319321E+02        2.065638E+01        -2.016758E+00        1.554542E-01        
3.312036E+01        -2.313075E+02        2.060076E+01        -2.011005E+00        1.549927E-01        
3.309061E+01        -2.306846E+02        2.054529E+01        -2.005269E+00        1.545324E-01        
3.306089E+01        -2.300634E+02        2.048997E+01        -1.999549E+00        1.540736E-01        
3.303119E+01        -2.294439E+02        2.043480E+01        -1.993845E+00        1.536161E-01        
3.300151E+01        -2.288260E+02        2.037978E+01        -1.988157E+00        1.531599E-01        
3.297187E+01        -2.282098E+02        2.032491E+01        -1.982486E+00        1.527051E-01        
3.294225E+01        -2.275952E+02        2.027018E+01        -1.976830E+00        1.522516E-01        
3.291266E+01        -2.269823E+02        2.021560E+01        -1.971191E+00        1.517994E-01        
3.288309E+01        -2.263711E+02        2.016117E+01        -1.965568E+00        1.513486E-01        
3.285355E+01        -2.257615E+02        2.010688E+01        -1.959961E+00        1.508991E-01        
3.282404E+01        -2.251535E+02        2.005274E+01        -1.954369E+00        1.504509E-01        
3.279455E+01        -2.245472E+02        1.999875E+01        -1.948794E+00        1.500041E-01        
3.276509E+01        -2.239425E+02        1.994490E+01        -1.943235E+00        1.495585E-01        
3.273566E+01        -2.233394E+02        1.989120E+01        -1.937691E+00        1.491143E-01        
3.270625E+01        -2.227380E+02        1.983764E+01        -1.932163E+00        1.486714E-01        
3.267687E+01        -2.221382E+02        1.978423E+01        -1.926651E+00        1.482298E-01        
3.264752E+01        -2.215400E+02        1.973096E+01        -1.921154E+00        1.477895E-01        
3.261819E+01        -2.209434E+02        1.967783E+01        -1.915673E+00        1.473505E-01        
3.258889E+01        -2.203484E+02        1.962484E+01        -1.910208E+00        1.469127E-01        
3.255961E+01        -2.197550E+02        1.957200E+01        -1.904758E+00        1.464763E-01        
3.253036E+01        -2.191632E+02        1.951930E+01        -1.899324E+00        1.460411E-01        
3.250114E+01        -2.185730E+02        1.946675E+01        -1.893905E+00        1.456073E-01        
3.247195E+01        -2.179844E+02        1.941433E+01        -1.888502E+00        1.451747E-01        
3.244278E+01        -2.173974E+02        1.936206E+01        -1.883114E+00        1.447434E-01        
3.241363E+01        -2.168119E+02        1.930992E+01        -1.877741E+00        1.443133E-01        
3.238451E+01        -2.162281E+02        1.925793E+01        -1.872383E+00        1.438845E-01        
3.235542E+01        -2.156458E+02        1.920608E+01        -1.867041E+00        1.434570E-01        
3.232636E+01        -2.150651E+02        1.915436E+01        -1.861714E+00        1.430308E-01        
3.229732E+01        -2.144859E+02        1.910279E+01        -1.856402E+00        1.426058E-01        
3.226830E+01        -2.139083E+02        1.905135E+01        -1.851105E+00        1.421820E-01        
3.223932E+01        -2.133323E+02        1.900005E+01        -1.845824E+00        1.417595E-01        
3.221036E+01        -2.127578E+02        1.894890E+01        -1.840557E+00        1.413382E-01        
3.218142E+01        -2.121848E+02        1.889787E+01        -1.835305E+00        1.409182E-01        
3.215251E+01        -2.116134E+02        1.884699E+01        -1.830069E+00        1.404994E-01        
3.212363E+01        -2.110435E+02        1.879624E+01        -1.824847E+00        1.400819E-01        
3.209477E+01        -2.104752E+02        1.874563E+01        -1.819640E+00        1.396656E-01        
3.206594E+01        -2.099084E+02        1.869516E+01        -1.814448E+00        1.392505E-01        
3.203713E+01        -2.093431E+02        1.864482E+01        -1.809270E+00        1.388366E-01        
3.200836E+01        -2.087794E+02        1.859462E+01        -1.804107E+00        1.384240E-01        
3.197960E+01        -2.082171E+02        1.854455E+01        -1.798959E+00        1.380125E-01        
3.195087E+01        -2.076564E+02        1.849462E+01        -1.793826E+00        1.376023E-01        
3.192217E+01        -2.070972E+02        1.844482E+01        -1.788707E+00        1.371933E-01        
3.189350E+01        -2.065395E+02        1.839515E+01        -1.783603E+00        1.367855E-01        
3.186485E+01        -2.059833E+02        1.834562E+01        -1.778513E+00        1.363789E-01        
3.183622E+01        -2.054286E+02        1.829623E+01        -1.773438E+00        1.359735E-01        
3.180762E+01        -2.048754E+02        1.824696E+01        -1.768377E+00        1.355693E-01        
3.177905E+01        -2.043237E+02        1.819783E+01        -1.763331E+00        1.351662E-01        
3.175050E+01        -2.037734E+02        1.814883E+01        -1.758299E+00        1.347644E-01        
3.172198E+01        -2.032247E+02        1.809997E+01        -1.753281E+00        1.343638E-01        
3.169348E+01        -2.026774E+02        1.805123E+01        -1.748278E+00        1.339643E-01        
3.166501E+01        -2.021316E+02        1.800263E+01        -1.743288E+00        1.335660E-01        
3.163657E+01        -2.015873E+02        1.795415E+01        -1.738313E+00        1.331689E-01        
3.160815E+01        -2.010444E+02        1.790581E+01        -1.733352E+00        1.327729E-01        
3.157975E+01        -2.005030E+02        1.785760E+01        -1.728406E+00        1.323781E-01        
3.155138E+01        -1.999630E+02        1.780951E+01        -1.723473E+00        1.319845E-01        
3.152304E+01        -1.994245E+02        1.776156E+01        -1.718554E+00        1.315921E-01        
3.149472E+01        -1.988875E+02        1.771373E+01        -1.713650E+00        1.312007E-01        
3.146643E+01        -1.983519E+02        1.766604E+01        -1.708759E+00        1.308106E-01        
